from_city;from_district;to_city;sum
ADANA;ALADAG;ADIYAMAN;12
ADANA;ALADAG;AFYONKARAHISAR;8
ADANA;ALADAG;AGRI;9
ADANA;ALADAG;AKSARAY;19
ADANA;ALADAG;AMASYA;7
ADANA;ALADAG;ANKARA;150
ADANA;ALADAG;ANTALYA;115
ADANA;ALADAG;ARDAHAN;3
ADANA;ALADAG;ARTVIN;2
ADANA;ALADAG;AYDIN;24
ADANA;ALADAG;BALIKESIR;28
ADANA;ALADAG;BARTIN;1
ADANA;ALADAG;BATMAN;14
ADANA;ALADAG;BILECIK;2
ADANA;ALADAG;BINGOL;18
ADANA;ALADAG;BITLIS;8
ADANA;ALADAG;BOLU;11
ADANA;ALADAG;BURDUR;12
ADANA;ALADAG;BURSA;34
ADANA;ALADAG;CANAKKALE;10
ADANA;ALADAG;CANKIRI;6
ADANA;ALADAG;DENIZLI;21
ADANA;ALADAG;DIYARBAKIR;30
ADANA;ALADAG;DUZCE;6
ADANA;ALADAG;EDIRNE;14
ADANA;ALADAG;ELAZIG;14
ADANA;ALADAG;ERZINCAN;4
ADANA;ALADAG;ERZURUM;16
ADANA;ALADAG;ESKISEHIR;21
ADANA;ALADAG;GAZIANTEP;69
ADANA;ALADAG;GIRESUN;4
ADANA;ALADAG;HAKKARI;9
ADANA;ALADAG;HATAY;108
ADANA;ALADAG;ISPARTA;11
ADANA;ALADAG;ISTANBUL;409
ADANA;ALADAG;IZMIR;56
ADANA;ALADAG;KAHRAMANMARAS;83
ADANA;ALADAG;KARABUK;1
ADANA;ALADAG;KARAMAN;9
ADANA;ALADAG;KARS;5
ADANA;ALADAG;KASTAMONU;3
ADANA;ALADAG;KAYSERI;32
ADANA;ALADAG;KILIS;5
ADANA;ALADAG;KIRIKKALE;3
ADANA;ALADAG;KIRKLARELI;8
ADANA;ALADAG;KIRSEHIR;3
ADANA;ALADAG;KOCAELI;32
ADANA;ALADAG;KONYA;72
ADANA;ALADAG;KUTAHYA;7
ADANA;ALADAG;MALATYA;35
ADANA;ALADAG;MANISA;14
ADANA;ALADAG;MARDIN;42
ADANA;ALADAG;MERSIN;409
ADANA;ALADAG;MUGLA;49
ADANA;ALADAG;MUS;2
ADANA;ALADAG;NEVSEHIR;8
ADANA;ALADAG;NIGDE;38
ADANA;ALADAG;ORDU;6
ADANA;ALADAG;OSMANIYE;78
ADANA;ALADAG;RIZE;3
ADANA;ALADAG;SAKARYA;10
ADANA;ALADAG;SAMSUN;6
ADANA;ALADAG;SANLIURFA;55
ADANA;ALADAG;SIIRT;13
ADANA;ALADAG;SINOP;13
ADANA;ALADAG;SIRNAK;10
ADANA;ALADAG;SIVAS;9
ADANA;ALADAG;TEKIRDAG;20
ADANA;ALADAG;TOKAT;17
ADANA;ALADAG;TRABZON;11
ADANA;ALADAG;TUNCELI;4
ADANA;ALADAG;USAK;8
ADANA;ALADAG;VAN;15
ADANA;ALADAG;YALOVA;7
ADANA;ALADAG;YOZGAT;9
ADANA;ALADAG;ZONGULDAK;5
ADANA;CEYHAN;ADIYAMAN;171
ADANA;CEYHAN;AFYONKARAHISAR;114
ADANA;CEYHAN;AGRI;58
ADANA;CEYHAN;AKSARAY;130
ADANA;CEYHAN;AMASYA;78
ADANA;CEYHAN;ANKARA;2857
ADANA;CEYHAN;ANTALYA;2402
ADANA;CEYHAN;ARDAHAN;11
ADANA;CEYHAN;ARTVIN;32
ADANA;CEYHAN;AYDIN;548
ADANA;CEYHAN;BALIKESIR;314
ADANA;CEYHAN;BARTIN;11
ADANA;CEYHAN;BATMAN;112
ADANA;CEYHAN;BAYBURT;25
ADANA;CEYHAN;BILECIK;43
ADANA;CEYHAN;BINGOL;82
ADANA;CEYHAN;BITLIS;41
ADANA;CEYHAN;BOLU;77
ADANA;CEYHAN;BURDUR;43
ADANA;CEYHAN;BURSA;1048
ADANA;CEYHAN;CANAKKALE;205
ADANA;CEYHAN;CANKIRI;46
ADANA;CEYHAN;CORUM;33
ADANA;CEYHAN;DENIZLI;226
ADANA;CEYHAN;DIYARBAKIR;314
ADANA;CEYHAN;DUZCE;83
ADANA;CEYHAN;EDIRNE;116
ADANA;CEYHAN;ELAZIG;170
ADANA;CEYHAN;ERZINCAN;40
ADANA;CEYHAN;ERZURUM;145
ADANA;CEYHAN;ESKISEHIR;249
ADANA;CEYHAN;GAZIANTEP;1130
ADANA;CEYHAN;GIRESUN;31
ADANA;CEYHAN;GUMUSHANE;14
ADANA;CEYHAN;HAKKARI;40
ADANA;CEYHAN;HATAY;4720
ADANA;CEYHAN;IGDIR;38
ADANA;CEYHAN;ISPARTA;115
ADANA;CEYHAN;ISTANBUL;10884
ADANA;CEYHAN;IZMIR;2421
ADANA;CEYHAN;KAHRAMANMARAS;807
ADANA;CEYHAN;KARABUK;27
ADANA;CEYHAN;KARAMAN;71
ADANA;CEYHAN;KARS;54
ADANA;CEYHAN;KASTAMONU;38
ADANA;CEYHAN;KAYSERI;562
ADANA;CEYHAN;KILIS;51
ADANA;CEYHAN;KIRIKKALE;36
ADANA;CEYHAN;KIRKLARELI;202
ADANA;CEYHAN;KIRSEHIR;35
ADANA;CEYHAN;KOCAELI;798
ADANA;CEYHAN;KONYA;670
ADANA;CEYHAN;KUTAHYA;121
ADANA;CEYHAN;MALATYA;366
ADANA;CEYHAN;MANISA;232
ADANA;CEYHAN;MARDIN;194
ADANA;CEYHAN;MERSIN;5128
ADANA;CEYHAN;MUGLA;550
ADANA;CEYHAN;MUS;69
ADANA;CEYHAN;NEVSEHIR;95
ADANA;CEYHAN;NIGDE;392
ADANA;CEYHAN;ORDU;50
ADANA;CEYHAN;OSMANIYE;3552
ADANA;CEYHAN;RIZE;29
ADANA;CEYHAN;SAKARYA;206
ADANA;CEYHAN;SAMSUN;138
ADANA;CEYHAN;SANLIURFA;392
ADANA;CEYHAN;SIIRT;110
ADANA;CEYHAN;SINOP;28
ADANA;CEYHAN;SIRNAK;67
ADANA;CEYHAN;SIVAS;88
ADANA;CEYHAN;TEKIRDAG;524
ADANA;CEYHAN;TOKAT;74
ADANA;CEYHAN;TRABZON;71
ADANA;CEYHAN;TUNCELI;64
ADANA;CEYHAN;USAK;37
ADANA;CEYHAN;VAN;111
ADANA;CEYHAN;YALOVA;127
ADANA;CEYHAN;YOZGAT;52
ADANA;CEYHAN;ZONGULDAK;86
ADANA;FEKE;ADIYAMAN;30
ADANA;FEKE;AFYONKARAHISAR;17
ADANA;FEKE;AGRI;17
ADANA;FEKE;AKSARAY;38
ADANA;FEKE;AMASYA;9
ADANA;FEKE;ANKARA;355
ADANA;FEKE;ANTALYA;328
ADANA;FEKE;ARDAHAN;4
ADANA;FEKE;ARTVIN;3
ADANA;FEKE;AYDIN;104
ADANA;FEKE;BALIKESIR;41
ADANA;FEKE;BARTIN;2
ADANA;FEKE;BATMAN;14
ADANA;FEKE;BAYBURT;5
ADANA;FEKE;BILECIK;10
ADANA;FEKE;BINGOL;22
ADANA;FEKE;BITLIS;14
ADANA;FEKE;BOLU;21
ADANA;FEKE;BURDUR;16
ADANA;FEKE;BURSA;48
ADANA;FEKE;CANAKKALE;96
ADANA;FEKE;CANKIRI;24
ADANA;FEKE;CORUM;5
ADANA;FEKE;DENIZLI;51
ADANA;FEKE;DIYARBAKIR;41
ADANA;FEKE;DUZCE;5
ADANA;FEKE;EDIRNE;10
ADANA;FEKE;ELAZIG;18
ADANA;FEKE;ERZINCAN;10
ADANA;FEKE;ERZURUM;34
ADANA;FEKE;ESKISEHIR;30
ADANA;FEKE;GAZIANTEP;131
ADANA;FEKE;GIRESUN;20
ADANA;FEKE;GUMUSHANE;1
ADANA;FEKE;HAKKARI;13
ADANA;FEKE;HATAY;303
ADANA;FEKE;IGDIR;4
ADANA;FEKE;ISPARTA;13
ADANA;FEKE;ISTANBUL;843
ADANA;FEKE;IZMIR;230
ADANA;FEKE;KAHRAMANMARAS;150
ADANA;FEKE;KARABUK;9
ADANA;FEKE;KARAMAN;5
ADANA;FEKE;KARS;8
ADANA;FEKE;KASTAMONU;13
ADANA;FEKE;KAYSERI;551
ADANA;FEKE;KILIS;19
ADANA;FEKE;KIRIKKALE;1
ADANA;FEKE;KIRKLARELI;9
ADANA;FEKE;KIRSEHIR;9
ADANA;FEKE;KOCAELI;75
ADANA;FEKE;KONYA;106
ADANA;FEKE;KUTAHYA;9
ADANA;FEKE;MALATYA;34
ADANA;FEKE;MANISA;54
ADANA;FEKE;MARDIN;50
ADANA;FEKE;MERSIN;739
ADANA;FEKE;MUGLA;80
ADANA;FEKE;MUS;6
ADANA;FEKE;NEVSEHIR;158
ADANA;FEKE;NIGDE;62
ADANA;FEKE;ORDU;7
ADANA;FEKE;OSMANIYE;267
ADANA;FEKE;RIZE;6
ADANA;FEKE;SAKARYA;11
ADANA;FEKE;SAMSUN;23
ADANA;FEKE;SANLIURFA;60
ADANA;FEKE;SIIRT;14
ADANA;FEKE;SINOP;15
ADANA;FEKE;SIRNAK;25
ADANA;FEKE;SIVAS;26
ADANA;FEKE;TEKIRDAG;33
ADANA;FEKE;TOKAT;5
ADANA;FEKE;TRABZON;14
ADANA;FEKE;TUNCELI;8
ADANA;FEKE;USAK;24
