city;female;male
ADANA;704261;686236
ADIYAMAN;179672;173450
AFYONKARAHISAR;249053;238760
AGRI;129895;135641
AKSARAY;124125;118458
AMASYA;118729;113803
ANKARA;1578340;1503103
ANTALYA;637874;651813
ARDAHAN;35086;36154
ARTVIN;61941;60808
AYDIN;712372;699258
BALIKESIR;430947;416091
BARTIN;71716;67266
BATMAN;154762;150501
BAYBURT;25018;24657
BILECIK;71460;70231
BINGOL;146050;143086
BITLIS;84036;86193
BOLU;101931;96696
BURDUR;95469;90481
BURSA;900373;884098
CANAKKALE;182331;178403
CANKIRI;128710;124576
CORUM;196694;189296
DENIZLI;336156;330148
DIYARBAKIR;405304;396474
DUZCE;116539;113908
EDIRNE;150509;147552
ELAZIG;188610;176199
ERZINCAN;72515;70496
ERZURUM;243530;237613
ESKISEHIR;285434;276397
GAZIANTEP;472261;468426
GIRESUN;156505;150640
GUMUSHANE;44537;43782
HAKKARI;60271;59504
HATAY;456005;443180
IGDIR;51208;52508
ISPARTA;152368;147284
ISTANBUL;4429340;4400244
IZMIR;1419691;1371708
KAHRAMANMARAS;319200;323294
KARABUK;83377;79327
KARAMAN;80340;77312
KARS;90561;93929
KASTAMONU;140064;131003
KAYSERI;396436;390936
KILIS;37858;35750
KIRIKKALE;99435;98293
KIRKLARELI;126029;125254
KIRSEHIR;81080;78434
KOCAELI;506187;512370
KONYA;682907;649333
KUTAHYA;217737;207889
MALATYA;245219;237556
MANISA;488379;473495
MARDIN;391530;376826
MERSIN;558088;540875
MUGLA;284059;295246
MUS;101574;102766
NEVSEHIR;99921;95006
NIGDE;111404;108161
ORDU;255627;250673
OSMANIYE;151651;148419
RIZE;117071;111908
SAKARYA;299337;294705
SAMSUN;440141;417246
SANLIURFA;398604;381100
SIIRT;71700;71247
SINOP;76653;72656
SIRNAK;92278;88950
SIVAS;215618;211706
TEKIRDAG;268899;275757
TOKAT;217642;208864
TRABZON;273194;260525
TUNCELI;54122;56686
USAK;125969;121019
VAN;246106;252009
YALOVA;69522;67245
YOZGAT;165470;163149
ZONGULDAK;234609;222442
