from_city;from_district;to_city;to_district;migration
MERSIN;MERSIN MERKEZ;MERSIN;AKDENIZ;63857
ADANA;SEYHAN;ADANA;CUKUROVA;57606
GAZIANTEP;SAHINBEY;GAZIANTEP;SEHITKAMIL;50127
ERZURUM;ERZURUM MERKEZ;ERZURUM;YAKUTIYE;45109
BURSA;OSMANGAZI;BURSA;YILDIRIM;43821
IZMIR;KONAK;IZMIR;KARABAGLAR;43304
MERSIN;MERSIN MERKEZ;MERSIN;YENISEHIR;39546
ERZURUM;ERZURUM MERKEZ;ERZURUM;PALANDOKEN;37543
ISTANBUL;FATIH;ISTANBUL;KADIKOY;37113
KAYSERI;KOCASINAN;KAYSERI;MELIKGAZI;35279
GAZIANTEP;OGUZELI;GAZIANTEP;SAHINBEY;34816
BURSA;OSMANGAZI;BURSA;NILUFER;33083
IZMIR;KONAK;IZMIR;BUCA;32288
ESKISEHIR;TEPEBASI;ESKISEHIR;ODUNPAZARI;31939
BATMAN;GERCUS;BATMAN;BATMAN MERKEZ;31815
GAZIANTEP;SEHITKAMIL;GAZIANTEP;SAHINBEY;29872
ADANA;YUREGIR;ADANA;SARICAM;29794
ADANA;KARAISALI;ADANA;SEYHAN;29683
KONYA;KARATAY;KONYA;SELCUKLU;28871
GAZIANTEP;NIZIP;GAZIANTEP;SAHINBEY;26394
KIRIKKALE;KESKIN;KIRIKKALE;KIRIKKALE MERKEZ;26245
KAYSERI;MELIKGAZI;KAYSERI;KOCASINAN;25939
ADANA;YUREGIR;ADANA;SEYHAN;25922
TRABZON;AKCAABAT;TRABZON;TRABZON MERKEZ;25529
MALATYA;AKCADAG;MALATYA;MALATYA MERKEZ;24593
HATAY;ALTINOZU;HATAY;HATAY MERKEZ;24500
VAN;GURPINAR;VAN;VAN MERKEZ;24325
ISTANBUL;FATIH;ISTANBUL;BAKIRKOY;23696
GAZIANTEP;NIZIP;GAZIANTEP;SEHITKAMIL;22765
KONYA;MERAM;KONYA;SELCUKLU;22650
KONYA;KADINHANI;KONYA;SELCUKLU;22517
DENIZLI;ACIPAYAM;DENIZLI;DENIZLI MERKEZ;22439
MERSIN;MERSIN MERKEZ;MERSIN;TOROSLAR;22201
DIYARBAKIR;SUR;DIYARBAKIR;BAGLAR;21435
IZMIR;KONAK;IZMIR;KARSIYAKA;21063
SAMSUN;KAVAK;SAMSUN;ILKADIM;21038
KAYSERI;PINARBASI/KAYSERI;KAYSERI;MELIKGAZI;20903
DENIZLI;TAVAS;DENIZLI;DENIZLI MERKEZ;20760
ADANA;YUREGIR;ADANA;CUKUROVA;20528
MALATYA;YESILYURT/MALATYA;MALATYA;MALATYA MERKEZ;20451
ELAZIG;PALU;ELAZIG;ELAZIG MERKEZ;20012
KONYA;KARATAY;KONYA;MERAM;19606
BINGOL;GENC;BINGOL;BINGOL MERKEZ;19354
MARDIN;MARDIN MERKEZ;MARDIN;KIZILTEPE;19236
ANKARA;KIZILCAHAMAM;ANKARA;KECIOREN;19206
DIYARBAKIR;SUR;DIYARBAKIR;YENISEHIR;18949
BURSA;MUSTAFA K.PASA;BURSA;OSMANGAZI;18759
BURSA;YILDIRIM;BURSA;OSMANGAZI;18687
SIVAS;YILDIZELI;SIVAS;SIVAS MERKEZ;18360
KOCAELI;KANDIRA;KOCAELI;IZMIT;18217
BURSA;NILUFER;BURSA;OSMANGAZI;18161
SANLIURFA;BOZOVA;SANLIURFA;SANLIURFA MERKEZ;18152
ANTALYA;KORKUTELI;ANTALYA;KEPEZ;18148
KIRIKKALE;BALISEYH;KIRIKKALE;KIRIKKALE MERKEZ;17834
KAYSERI;PINARBASI/KAYSERI;KAYSERI;KOCASINAN;17534
ANKARA;ALTINDAG;ANKARA;CANKAYA;17506
ADANA;KOZAN;ADANA;YUREGIR;17314
ANKARA;ALTINDAG;ANKARA;KECIOREN;17131
ORDU;ULUBEY/ORDU;ORDU;ORDU MERKEZ;17022
IZMIR;KONAK;IZMIR;BORNOVA;16809
SANLIURFA;SIVEREK;SANLIURFA;SANLIURFA MERKEZ;16807
DENIZLI;CAL;DENIZLI;DENIZLI MERKEZ;15992
ELAZIG;KOVANCILAR;ELAZIG;ELAZIG MERKEZ;15950
ADANA;KARAISALI;ADANA;CUKUROVA;15947
ESKISEHIR;SIVRIHISAR;ESKISEHIR;ODUNPAZARI;15880
ESKISEHIR;SEYITGAZI;ESKISEHIR;ODUNPAZARI;15856
KONYA;ILGIN;KONYA;SELCUKLU;15361
MANISA;SARUHANLI;MANISA;MANISA MERKEZ;15218
KONYA;SARAYONU;KONYA;SELCUKLU;14962
DIYARBAKIR;SUR;DIYARBAKIR;KAYAPINAR;14847
BURSA;ORHANELI;BURSA;OSMANGAZI;14835
ESKISEHIR;MIHALICCIK;ESKISEHIR;ODUNPAZARI;14811
BURSA;YILDIRIM;BURSA;NILUFER;14513
ISTANBUL;FATIH;ISTANBUL;BAHCELIEVLER;14475
ISTANBUL;USKUDAR;ISTANBUL;KADIKOY;14365
