city;population
ISTANBUL;8829584
ANKARA;3081443
IZMIR;2791399
BURSA;1784471
AYDIN;1411630
ADANA;1390497
KONYA;1332240
ANTALYA;1289687
MERSIN;1098963
KOCAELI;1018557
MANISA;961874
GAZIANTEP;940687
HATAY;899185
SAMSUN;857387
BALIKESIR;847038
DIYARBAKIR;801778
KAYSERI;787372
SANLIURFA;779704
MARDIN;768356
DENIZLI;666304
KAHRAMANMARAS;642494
SAKARYA;594042
MUGLA;579305
ESKISEHIR;561831
TEKIRDAG;544656
TRABZON;533719
ORDU;506300
VAN;498115
AFYONKARAHISAR;487813
MALATYA;482775
ERZURUM;481143
ZONGULDAK;457051
SIVAS;427324
TOKAT;426506
KUTAHYA;425626
CORUM;385990
ELAZIG;364809
CANAKKALE;360734
ADIYAMAN;353122
YOZGAT;328619
GIRESUN;307145
BATMAN;305263
OSMANIYE;300070
ISPARTA;299652
EDIRNE;298061
BINGOL;289136
KASTAMONU;271067
AGRI;265536
CANKIRI;253286
KIRKLARELI;251283
USAK;246988
AKSARAY;242583
AMASYA;232532
DUZCE;230447
RIZE;228979
NIGDE;219565
MUS;204340
BOLU;198627
KIRIKKALE;197728
NEVSEHIR;194927
BURDUR;185950
KARS;184490
SIRNAK;181228
BITLIS;170229
KARABUK;162704
KIRSEHIR;159514
KARAMAN;157652
SINOP;149309
ERZINCAN;143011
SIIRT;142947
BILECIK;141691
BARTIN;138982
YALOVA;136767
ARTVIN;122749
HAKKARI;119775
TUNCELI;110808
IGDIR;103716
GUMUSHANE;88319
KILIS;73608
ARDAHAN;71240
BAYBURT;49675
