address_city;address_district;count
ANKARA;CANKAYA;604990
BURSA;OSMANGAZI;537267
ANKARA;KECIOREN;504990
ADANA;SEYHAN;472385
ISTANBUL;BAGCILAR;464783
ISTANBUL;KUCUKCEKMECE;452831
ISTANBUL;KADIKOY;450898
BURSA;YILDIRIM;412262
GAZIANTEP;SAHINBEY;409370
ISTANBUL;BAHCELIEVLER;400784
ISTANBUL;UMRANIYE;397766
ANKARA;YENIMAHALLE;394456
ISTANBUL;USKUDAR;386773
DENIZLI;DENIZLI MERKEZ;364648
ISTANBUL;PENDIK;361148
ANKARA;MAMAK;357056
AYDIN;AYDIN MERKEZ;337912
SANLIURFA;SANLIURFA MERKEZ;337778
GAZIANTEP;SEHITKAMIL;333536
ISTANBUL;FATIH;330333
KONYA;SELCUKLU;327891
IZMIR;KARABAGLAR;323712
KAHRAMANMARAS;KAHRAMANMARAS MERKEZ;315783
ISTANBUL;GAZIOSMANPASA;311358
ISTANBUL;MALTEPE;308877
IZMIR;KONAK;307860
ISTANBUL;KARTAL;306616
MALATYA;MALATYA MERKEZ;304886
ISTANBUL;ESENLER;302527
ADANA;YUREGIR;302500
IZMIR;BUCA;300137
ANKARA;SINCAN;294487
IZMIR;BORNOVA;293220
ISTANBUL;KAGITHANE;292068
KAYSERI;MELIKGAZI;284849
ANTALYA;MURATPASA;278631
ISTANBUL;SULTANGAZI;277983
HATAY;HATAY MERKEZ;273712
ELAZIG;ELAZIG MERKEZ;260156
ESKISEHIR;ODUNPAZARI;259533
ANTALYA;KEPEZ;259371
ANKARA;ALTINDAG;254933
KAYSERI;KOCASINAN;249924
IZMIR;KARSIYAKA;237750
ISTANBUL;ESENYURT;237646
MANISA;MANISA MERKEZ;236730
ISTANBUL;SISLI;236308
ISTANBUL;AVCILAR;235646
BALIKESIR;BALIKESIR MERKEZ;235295
BATMAN;BATMAN MERKEZ;230248
VAN;VAN MERKEZ;229007
ISTANBUL;GUNGOREN;226749
ISTANBUL;EYUP;224597
ADANA;CUKUROVA;224029
SAMSUN;ILKADIM;222224
SIVAS;SIVAS MERKEZ;220815
KOCAELI;IZMIT;220229
IZMIR;BAYRAKLI;219597
AYDIN;NAZILLI;215614
TRABZON;TRABZON MERKEZ;213422
ESKISEHIR;TEPEBASI;207306
MARDIN;KIZILTEPE;204904
MERSIN;TARSUS;204490
HATAY;ISKENDERUN;204073
KONYA;MERAM;203624
ISTANBUL;SARIYER;202841
ISTANBUL;ZEYTINBURNU;199651
BURSA;NILUFER;197840
ISTANBUL;ATASEHIR;196697
ISTANBUL;BAYRAMPASA;193558
KOCAELI;GEBZE;190029
DIYARBAKIR;BAGLAR;189965
MERSIN;AKDENIZ;182124
MERSIN;TOROSLAR;176647
CORUM;CORUM MERKEZ;175721
ANKARA;ETIMESGUT;174294
SAKARYA;ADAPAZARI;172787
ISTANBUL;BEYKOZ;172483
ISTANBUL;BEYOGLU;171442
ISTANBUL;BAKIRKOY;170416
ISTANBUL;SULTANBEYLI;169888
TEKIRDAG;CORLU;166999
KUTAHYA;KUTAHYA MERKEZ;166664
AYDIN;SOKE;165308
AKSARAY;AKSARAY MERKEZ;164241
AFYONKARAHISAR;AFYONKARAHISAR MERKEZ;164134
KONYA;KARATAY;161829
BINGOL;BINGOL MERKEZ;161446
ZONGULDAK;ZONGULDAK MERKEZ;160446
ADIYAMAN;ADIYAMAN MERKEZ;158529
ISTANBUL;SANCAKTEPE;157365
ANTALYA;ALANYA;156986
USAK;USAK MERKEZ;153003
ISTANBUL;BESIKTAS;151537
KIRIKKALE;KIRIKKALE MERKEZ;144179
ISPARTA;ISPARTA MERKEZ;143587
BURSA;INEGOL;143025
OSMANIYE;OSMANIYE MERKEZ;139033
MARDIN;MARDIN MERKEZ;136332
ISTANBUL;BEYLIKDUZU;135679
MERSIN;YENISEHIR;131316
DUZCE;DUZCE MERKEZ;130352
MUGLA;FETHIYE;127982
ISTANBUL;BASAKSEHIR;125232
ORDU;ORDU MERKEZ;124672
NIGDE;NIGDE MERKEZ;124636
ZONGULDAK;EREGLI/ZONGULDAK;123775
MARDIN;NUSAYBIN;121640
TEKIRDAG;TEKIRDAG MERKEZ;121386
TOKAT;TOKAT MERKEZ;120856
MANISA;AKHISAR;119942
MARDIN;MIDYAT;119660
ANTALYA;MANAVGAT;119242
AYDIN;KUSADASI;116866
MANISA;SALIHLI;116614
ERZURUM;YAKUTIYE;114830
IZMIR;CIGLI;114462
EDIRNE;EDIRNE MERKEZ;113420
ISTANBUL;TUZLA;113395
BOLU;BOLU MERKEZ;113325
CANKIRI;CANKIRI MERKEZ;113238
ISTANBUL;BUYUKCEKMECE;112641
KARAMAN;KARAMAN MERKEZ;111765
DIYARBAKIR;KAYAPINAR;109493
DIYARBAKIR;YENISEHIR;108308
ADANA;CEYHAN;105113
SAMSUN;BAFRA;102115
BARTIN;BARTIN MERKEZ;101943
MANISA;TURGUTLU;99366
BALIKESIR;BANDIRMA;98927
IZMIR;ODEMIS;98701
SANLIURFA;SIVEREK;98184
ISTANBUL;ARNAVUTKOY;98068
KIRKLARELI;LULEBURGAZ;98014
ERZURUM;PALANDOKEN;97442
TEKIRDAG;CERKEZKOY;96836
KOCAELI;GOLCUK;95431
RIZE;RIZE MERKEZ;95036
ISTANBUL;CEKMEKOY;94411
SAMSUN;CARSAMBA;94192
ERZINCAN;ERZINCAN MERKEZ;92770
KONYA;EREGLI/KONYA;91802
MUGLA;MILAS;91594
AMASYA;AMASYA MERKEZ;91178
HATAY;DORTYOL;90988
KOCAELI;DARICA;88862
CANAKKALE;CANAKKALE MERKEZ;88555
KOCAELI;KORFEZ;88320
ISTANBUL;SILIVRI;88152
MERSIN;MEZITLI;88043
MERSIN;ERDEMLI;87363
KARABUK;KARABUK MERKEZ;86845
KOCAELI;DERINCE;86707
KASTAMONU;KASTAMONU MERKEZ;86660
MUS;MUS MERKEZ;86611
GIRESUN;GIRESUN MERKEZ;86371
ADANA;KOZAN;85565
IZMIR;TORBALI;85405
KIRSEHIR;KIRSEHIR MERKEZ;85276
IZMIR;MENEMEN;84809
KAHRAMANMARAS;ELBISTAN;83963
BALIKESIR;EDREMIT/BALIKESIR;83592
MUGLA;BODRUM;83563
AYDIN;CINE;82728
HATAY;SAMANDAGI;82571
MERSIN;SILIFKE;81104
ORDU;UNYE;80178
SAMSUN;ATAKUM;78976
GAZIANTEP;NIZIP;78357
